wkr,party,partei,name,bezirk,wk_local,source
12,spd,SPD,Steffen Opitz,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
13,afd,AfD,Christian Buchholz,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
13,bsw,BSW,Andreas Kübler,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
13,cdu,CDU/CSU,Johannes Kraft,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
13,fdp,FDP,Stefan Andresen,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
13,gruene,GRÜNE,Bettina Jarasch,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
13,linke,LINKE,Maxi Häber,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
13,spd,SPD,Rona Tietje,03,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-1.pdf
14,afd,AfD,Jan-Philip Streeck,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
14,bsw,BSW,Oliver Nevi,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
14,cdu,CDU/CSU,Lars Bocian,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
14,fdp,FDP,David Sittner,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
14,gruene,GRÜNE,Sebastian Kascha,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
14,linke,LINKE,Coco Aglibut,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
14,spd,SPD,Torsten Hofer,03,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-2.pdf
15,afd,AfD,Hanno Bachmann,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
15,bsw,BSW,Kathrin Radke,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
15,cdu,CDU/CSU,Dr. Antje Tölle,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
15,fdp,FDP,Maria Wandel,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
15,gruene,GRÜNE,Oda Hassepaß,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
15,linke,LINKE,Christian Zebisch,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
15,spd,SPD,Paul Krüger,03,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-3.pdf
16,afd,AfD,Herbert Mohr,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
16,bsw,BSW,Josephine Thyrêt,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
16,cdu,CDU/CSU,Dirk Stettner,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
16,fdp,FDP,Dr. Pablo Puente Gamero,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
16,gruene,GRÜNE,Friedrich Ehrhardt,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
16,linke,LINKE,Devran Bașbolat,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
16,spd,SPD,Dennis Buchner,03,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-4.pdf
17,afd,AfD,Daniel Krüger,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
17,bsw,BSW,Erwin Liedke,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
17,cdu,CDU/CSU,Denise Bittner,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
17,fdp,FDP,Oliver Simon,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
17,gruene,GRÜNE,Louis Krüger,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
17,linke,LINKE,Enja Springob,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
17,spd,SPD,Arne Gröschel,03,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-5.pdf
18,afd,AfD,Dr. Christoph Schweer,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
18,bsw,BSW,Frank Barsch,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
18,cdu,CDU/CSU,Stephan Lenz,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
18,fdp,FDP,Ruven Gastel,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
18,gruene,GRÜNE,Dr. Sunčica Klaas,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
18,linke,LINKE,Maria Bigos,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
18,spd,SPD,Linda Vierecke,03,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-6.pdf
19,afd,AfD,Martin Kellner,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
19,bsw,BSW,Kim Reichelt,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
19,cdu,CDU/CSU,Sabrina Hohl,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
19,fdp,FDP,David Fischer,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
19,gruene,GRÜNE,Can Aru,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
19,linke,LINKE,Niklas Schrader,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
19,spd,SPD,Annette Unger,03,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-7.pdf
20,afd,AfD,Falk Rodig,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
20,bsw,BSW,Oliver Berger,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
20,cdu,CDU/CSU,Alexander Meyer,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
20,fdp,FDP,Maja Pfister,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
20,gruene,GRÜNE,Daniela Billig,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
20,linke,LINKE,Gloria Viagra,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
20,spd,SPD,Heiko Kretschmer,03,8,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-8.pdf
21,afd,AfD,Frank Behnke,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
21,bsw,BSW,Jobst Bürkle,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
21,cdu,CDU/CSU,David Paul,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
21,fdp,FDP,Julius Grottke,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
21,gruene,GRÜNE,Dr. Oliver Jütting,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
21,linke,LINKE,Maximilian Schirmer,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
21,spd,SPD,Tino Schopf,03,9,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_03_Pankow_03-9.pdf
22,afd,AfD,Marc Vallendar,04,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_04_Charlottenburg-Wilmersdorf_04-1.pdf
22,bsw,BSW,Tereza Schebsdat,04,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_04_Charlottenburg-Wilmersdorf_04-1.pdf
22,cdu,CDU/CSU,Vivien-Nathalie Keilbar,04,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_04_Charlottenburg-Wilmersdorf_04-1.pdf
