party,list_type,bezirk,list_pos,name,source
fdp,landes,,1,Christoph Meyer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
fdp,landes,,2,Dr. Maren Jasper-Winter,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
fdp,landes,,3,Peter Langer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
fdp,landes,,4,Maria Wandel,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
fdp,landes,,5,Tobias Bauschke,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
gruene,landes,,1,Bettina Jarasch,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
gruene,landes,,2,Werner Graf,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
gruene,landes,,3,Daniela Ehlers,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
gruene,landes,,4,Silke Gebel,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
gruene,landes,,5,Klara Josephine Schedlich,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,01,1,Martha Kleedörfer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,01,2,Tobias Schulze,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,01,3,Jacqueline Sanehy,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,01,4,Deike Janssen,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,01,5,Anna Eiling,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,02,1,Elif Eralp,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,02,2,Damiano Valgolio,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,02,3,Kerstin Wolter-Ehling,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
