"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:26:04";11;6;"GEM";"15088235";"Mücheln (Geiseltal), Stadt";"U";2643;1673;20;1653;294;952;78;105;36;64;16;1;12;3;4;10;70;7;1;22;1651;373;981;110;88;46;38;;;;;;;;15;;;""
"L";;;1;0;"GEM";"15088235";"Mücheln (Geiseltal), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:26:04";12;6;"GEM";"15088235";"Mücheln (Geiseltal), Stadt";"";2643;1673;20;1653;294;952;78;105;36;64;16;1;12;3;4;10;70;7;1;22;1651;373;981;110;88;46;38;;;;;;;;15;;;""
"L";;;1;0;"GEM";"15088250";"Nemsdorf-Göhrendorf";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;1;0;"GEM";"15088250";"Nemsdorf-Göhrendorf";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;2;0;"GEM";"15088250";"Nemsdorf-Göhrendorf";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"18:51:32";2;1;"GEM";"15088265";"Obhausen";"U";464;297;4;293;40;194;16;15;1;9;0;0;3;2;1;1;10;1;0;3;294;40;202;23;21;4;2;;;;;;;;2;;;""
"L";;;1;0;"GEM";"15088265";"Obhausen";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"18:51:32";3;1;"GEM";"15088265";"Obhausen";"";464;297;4;293;40;194;16;15;1;9;0;0;3;2;1;1;10;1;0;3;294;40;202;23;21;4;2;;;;;;;;2;;;""
"Z";"06.09.2026";"18:59:54";11;1;"GEM";"15088295";"Petersberg";"U";849;536;9;527;87;273;26;34;21;45;5;0;1;0;2;8;21;2;2;8;528;139;287;40;23;27;10;;;;;;;0;2;;;""
