party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
spd,bezirk,12,2,Sven Meyer,be:spd:person:sven meyer,76,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,3,Laurence Stroedter,be:spd:person:laurence stroedter,74,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,4,Kai Kottenstede,be:spd:person:kai kottenstede,78,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,5,Sevda Boyraci,be:spd:person:sevda boyraci,77,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,6,Samuel Märkt,be:spd:person:samuel maerkt,75,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,7,Hayal Düz,be:spd:person:hayal duez,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,8,Sascha Rudloff,be:spd:person:sascha rudloff,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,9,Angela Budweg,be:spd:person:angela budweg,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,10,Kán Lindner,be:spd:person:kan lindner,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,11,Nicole Borkenhagen,be:spd:person:nicole borkenhagen,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,12,Darrell Kanngießer,be:spd:person:darrell kanngiesser,,https://spd.berlin/kandidatinnen/,0
afd,landes,,1,Kristin Brinker,be:afd:person:kristin brinker,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html,0
afd,landes,,2,Alexander Bertram,be:afd:person:alexander bertram,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html,0
afd,landes,,3,Rolf Wiedenhaupt,be:afd:person:rolf wiedenhaupt,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html,0
afd,landes,,4,Jan Streeck,be:afd:person:jan streeck,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html,0
afd,landes,,5,Martin Kohler,be:afd:person:martin kohler,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html,0
afd,landes,,6,Martin Trefzer,be:afd:person:martin trefzer,,https://noafd.info/agh/,0
afd,landes,,7,Jeannette Auricht,be:afd:person:jeannette auricht,63,https://noafd.info/agh/,0
afd,landes,,8,Tommy Tabor,be:afd:person:tommy tabor,,https://noafd.info/agh/,0
afd,landes,,9,Dr. Hugh Bronson,be:afd:person:hugh bronson,23,https://noafd.info/agh/,0
afd,landes,,10,Carsten Ubbelohde,be:afd:person:carsten ubbelohde,,https://noafd.info/agh/,0
afd,landes,,11,Daniel Krüger,be:afd:person:daniel krueger,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/,0
