Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;Wahlkreissieger/-in;
E;06.06.2021;;;;WKR;19;Staßfurt;35851;19130;245;18885;6820;5282;2007;1291;485;1457;421;45;269;65;4;91;181;10;122;162;14;15;20;58;36;30;280;18850;6163;5405;2308;1556;306;2215;897;;;;;;;;;;;;Rosomkiewicz, Sven (CDU);
E;06.06.2021;;;;WKR;20;Schönebeck;45632;25214;373;24841;9957;5457;2621;2245;871;1451;591;47;393;127;14;119;250;6;163;338;9;10;19;61;53;39;388;24826;8576;5608;3194;3234;779;1931;1165;;;;;;;339;;;;;Dr. Schellenberger, Gunnar (CDU);
E;06.06.2021;;;;WKR;21;Bernburg;46817;26523;339;26184;9933;6164;3021;1896;952;1931;679;63;368;96;3;107;202;18;179;281;8;16;27;106;78;56;406;26117;9071;6476;3477;2313;1038;2447;1295;;;;;;;;;;;;Ruland, Stefan (CDU);
E;06.06.2021;;;;WKR;22;Köthen;49350;29415;575;28840;11097;6973;3690;1774;1004;1675;783;126;390;99;16;137;196;15;178;355;13;25;28;118;86;62;572;28843;10794;7250;5099;1775;939;1430;1556;;;;;;;;;;;;Feuerborn, Olaf (CDU);
E;06.06.2021;;;;WKR;23;Zerbst;39808;24498;458;24040;9420;5381;2655;1885;933;1439;900;69;299;79;9;105;159;23;138;251;13;10;18;82;68;104;468;24030;8780;5562;3133;1771;988;1496;2300;;;;;;;;;;;;Krause, Dietmar (CDU);
E;06.06.2021;;;;WKR;24;Wittenberg;45884;27605;512;27093;11666;4960;2535;2096;1331;1406;1466;97;334;74;15;171;125;13;146;357;8;21;24;87;115;46;519;27086;14600;4942;2273;1922;809;;2332;;;;;;;;;208;;;Dr. Haseloff, Reiner (CDU);
E;06.06.2021;;;;WKR;25;Jessen;42036;26786;521;26265;11560;5871;2356;1668;826;1369;1118;102;292;61;17;124;155;32;120;350;2;19;15;78;91;39;771;26015;10198;6690;3043;2456;997;;2631;;;;;;;;;;;;Borgwardt, Siegfried (CDU);
E;06.06.2021;;;;WKR;26;Dessau-Roßlau;41973;24568;361;24207;9847;4382;2710;1988;1781;1750;375;45;300;68;5;117;138;12;121;295;18;15;30;85;95;30;477;24091;8927;4595;3492;2534;2032;2511;;;;;;;;;;;;;Dr. Schneider, Anja (CDU);
E;06.06.2021;;;;WKR;27;Dessau-Roßlau-Wittenberg;39652;24121;412;23709;9299;4983;2281;1779;1507;1477;808;98;309;80;9;170;159;8;143;319;12;21;21;99;84;43;555;23566;8390;5252;2514;2860;1135;1471;1944;;;;;;;;;;;;Tschernich-Weiske, Karin (CDU);
E;06.06.2021;;;;WKR;28;Bitterfeld-Wolfen;51657;29535;526;29009;11274;7145;2846;2055;1107;1606;1050;83;469;102;8;175;198;30;220;333;14;11;23;128;101;31;581;28954;10210;7720;3296;2527;1112;1773;2316;;;;;;;;;;;;Zimmer, Lars-Jörn (CDU);
E;06.06.2021;;;;WKR;29;Saalekreis;44488;29363;441;28922;11118;6839;2706;2136;1224;2248;760;82;346;86;11;162;138;140;186;435;13;19;28;119;92;34;502;28861;10162;7113;2872;2585;1378;2716;1419;;;;;;616;;;;;;Scheffler, Michael (CDU);
E;06.06.2021;;;;WKR;30;Eisleben;48531;26805;513;26292;9657;6977;3065;2098;659;1554;318;83;342;91;7;203;143;361;209;302;11;12;23;85;70;22;577;26228;8469;7509;4365;2355;693;1866;;;;;;;971;;;;;;Barthel, René (CDU);
E;06.06.2021;;;;WKR;31;Sangerhausen;44993;27381;497;26884;10416;6600;2931;2115;813;1614;398;80;304;74;10;185;173;362;170;372;13;8;14;118;77;37;593;26788;9387;7219;3782;2323;854;2133;;;;;;;1090;;;;;;Redlich, Matthias (CDU);
E;06.06.2021;;;;WKR;32;Querfurt;45947;28618;445;28173;10898;7272;2826;1951;817;1828;538;89;294;314;13;144;185;58;154;482;7;22;27;121;94;39;544;28074;9785;7997;3993;2399;600;2250;;;;1050;;;;;;;;;Feußner, Eva (CDU);
E;06.06.2021;;;;WKR;33;Merseburg;40072;23316;362;22954;8477;5626;2406;1826;952;1496;370;77;318;77;7;167;139;28;172;510;16;17;36;105;104;28;542;22774;9375;6576;3267;2470;1086;;;;;;;;;;;;;;Czekalla, Sven (CDU);
E;06.06.2021;;;;WKR;34;Bad Dürrenberg-Saalekreis;45464;29035;427;28608;10914;6527;2570;2044;1295;2192;945;99;409;118;16;171;182;25;198;531;11;22;36;144;101;58;482;28553;9903;7047;2693;2498;1361;2699;2352;;;;;;;;;;;;Bommersbach, Frank Hartmut Uwe (CDU);
E;06.06.2021;;;;WKR;35;Halle I;40402;21163;383;20780;7156;4644;2646;1693;1284;1317;542;43;321;97;10;200;128;13;130;248;17;27;46;83;97;38;446;20717;6506;5015;3335;1972;1313;1429;1147;;;;;;;;;;;;Albrecht, Christian (CDU);
E;06.06.2021;;;;WKR;36;Halle II;46468;30268;356;29912;9401;3751;4108;2748;4510;2257;682;37;557;106;17;450;133;24;149;406;76;74;116;119;160;31;415;29853;8058;3860;4249;4714;3946;2630;1117;;;;788;;;491;;;;;Tullner, Marco (CDU);
E;06.06.2021;;;;WKR;37;Halle III;48166;34959;281;34678;9304;3166;4968;3215;8189;2499;552;30;493;118;19;531;116;22;142;583;127;131;129;95;209;40;321;34638;7958;3189;6013;4486;7350;3145;978;;;;850;;;669;;;;;Godenrath, Kerstin (CDU);
E;06.06.2021;;;;WKR;38;Halle IV;46732;26307;433;25874;9815;5137;2882;2150;1457;1971;613;52;390;110;17;219;181;14;168;375;15;18;41;111;103;35;498;25809;9941;5439;3354;2453;1474;1894;1254;;;;;;;;;;;;Keindorf, Thomas (CDU);
E;06.06.2021;;;;WKR;39;Weißenfels;43643;23838;243;23595;8803;5951;2178;2287;770;1377;543;77;301;69;9;257;154;14;129;411;6;13;15;102;85;44;282;23556;6517;5854;1816;5447;514;1279;1299;;;;523;;;;;307;;;Simon-Kuch, Elke (CDU);
E;06.06.2021;;;;WKR;40;Naumburg;46779;27295;271;27024;11010;6257;2653;1831;1236;1742;467;76;299;76;18;312;148;30;131;455;10;34;26;94;82;37;280;27015;11385;6489;2509;2120;865;1539;;;;;858;;;;;1250;;;Sturm, Daniel (CDU);
E;06.06.2021;;;;WKR;41;Zeitz;45153;24795;257;24538;9085;6499;2602;1676;772;1578;822;127;234;59;9;180;184;19;141;299;12;15;21;107;64;33;328;24467;6392;6627;3436;2058;829;1844;2718;;;;;;;;;76;303;184;Waehler, Lothar (AfD);
