"wahlkreisnummer16","gemeindekennziffer","gemeindename"
"12","13072762","Briefwahl Tessin"
"12","13072763","Briefwahl Warnow-West"
"23","13073001","Ahrenshagen-Daskow"
"23","13073002","Ahrenshoop"
"33","13073003","Altefähr"
"33","13073004","Altenkirchen"
"25","13073005","Altenpleen"
"34","13073006","Baabe"
"23","13073007","Bad Sülze, Stadt"
"25","13073009","Barth, Stadt"
"34","13073010","Bergen auf Rügen, Stadt"
"34","13073011","Binz"
"23","13073012","Born a. Darß"
"33","13073013","Breege"
"34","13073014","Buschvitz"
"23","13073015","Dettmannsdorf"
"23","13073016","Deyelsdorf"
"23","13073017","Dierhagen"
"25","13073018","Divitz-Spoldershagen"
"33","13073019","Dranske"
"23","13073020","Drechow"
"33","13073021","Dreschvitz"
"23","13073022","Eixen"
"24","13073023","Elmenhorst"
"24","13073024","Franzburg, Stadt"
"25","13073025","Fuhlendorf"
"34","13073026","Gager"
"33","13073027","Garz/Rügen, Stadt"
"33","13073028","Gingst"
"24","13073029","Glewitz"
"33","13073030","Glowe"
"34","13073031","Göhren"
"23","13073032","Grammendorf"
"23","13073033","Gransebieth"
"24","13073034","Gremersdorf-Buchholz"
"24","13073035","Grimmen, Stadt"
"25","13073036","Groß Kordshagen"
"25","13073037","Groß Mohrdorf"
"33","13073038","Gustow"
"23","13073039","Hugoldsdorf"
"33","13073040","Insel Hiddensee"
"25","13073041","Jakobsdorf"
"25","13073042","Karnin"
"25","13073043","Kenz-Küstrow"
"25","13073044","Klausdorf"
"33","13073045","Kluis"
"25","13073046","Kramerhof"
"25","13073047","Kummerow"
"34","13073048","Lancken-Granitz"
"34","13073049","Lietzow"
"23","13073050","Lindholz"
"25","13073051","Löbnitz"
"33","13073052","Lohme"
"25","13073053","Lüdershagen"
"25","13073054","Lüssow"
"23","13073055","Marlow, Stadt"
"34","13073056","Middelhagen"
"24","13073057","Millienhagen-Oebelitz"
"25","13073058","Neu Bartelshagen"
"33","13073059","Neuenkirchen"
"25","13073060","Niepars"
"25","13073061","Pantelitz"
"24","13073062","Papenhagen"
"34","13073063","Parchtitz"
"34","13073064","Patzig"
"33","13073065","Poseritz"
"25","13073066","Preetz"
"23","13073067","Prerow"
"25","13073068","Prohn"
"25","13073069","Pruchten"
"34","13073070","Putbus, Stadt"
"33","13073071","Putgarten"
"34","13073072","Ralswiek"
"33","13073073","Rambin"
"34","13073074","Rappin"
"23","13073075","Ribnitz-Damgarten, Stadt"
"24","13073076","Richtenberg, Stadt"
"25","13073077","Saal"
"33","13073078","Sagard"
"33","13073079","Samtens"
"33","13073080","Sassnitz, Stadt"
"33","13073081","Schaprode"
"23","13073082","Schlemmin"
"34","13073083","Sehlen"
"34","13073084","Sellin"
"23","13073085","Semlow"
"24","13073086","Splietsdorf"
"25","13073087","Steinhagen"
"24, 25, 26","13073088","Stralsund, Hansestadt"
"24","13073089","Süderholz"
"24","13073090","Sundhagen"
"34","13073091","Thiessow"
"33","13073092","Trent"
"23","13073093","Tribsees, Stadt"
"25","13073094","Trinwillershagen"
"33","13073095","Ummanz"
"24","13073096","Velgast"
"24","13073097","Weitenhagen"
"24","13073098","Wendisch Baggendorf"
"25","13073099","Wendorf"
"23","13073100","Wieck a. Darß"
"33","13073101","Wiek"
"24","13073102","Wittenhagen"
"23","13073103","Wustrow"
"25","13073104","Zarrendorf"
"23","13073105","Zingst"
"34","13073106","Zirkow"
"25","13073751","Briefwahl Altenpleen"
"25","13073752","Briefwahl Barth"
"33","13073753","Briefwahl Bergen auf Rügen"
"34","13073753","Briefwahl Bergen auf Rügen"
"23","13073754","Briefwahl Darß/Fischland"
"24","13073755","Briefwahl Franzburg-Richtenberg"
"24","13073756","Briefwahl Miltzow"
"34","13073757","Briefwahl Mönchgut-Granitz"
"25","13073758","Briefwahl Niepars"
"33","13073759","Briefwahl Nord-Rügen"
"23","13073760","Briefwahl Recknitz-Trebeltal"
"23","13073761","Briefwahl Ribnitz-Damgarten"
"33","13073762","Briefwahl West-Rügen"
"28","13074001","Alt Meteln"
"28","13074002","Bad Kleinen"
"28","13074003","Barnekow"
"28","13074004","Benz"
"27","13074005","Bernstorf"
"28","13074006","Bibow"
"28","13074007","Blowatz"
"28","13074008","Bobitz"
"28","13074009","Boiensdorf"
"27","13074010","Boltenhagen"
"28","13074012","Brüsewitz"
"27","13074013","Carlow"
"28","13074014","Cramonshagen"
"28","13074015","Dalberg-Wendelstorf"
"27","13074016","Damshagen"
"27","13074017","Dassow, Stadt"
"27","13074018","Dechow"
"28","13074019","Dorf Mecklenburg"
"28","13074020","Dragun"
"28","13074021","Gadebusch, Stadt"
"27","13074022","Gägelow"
"28","13074023","Glasin"
"28","13074024","Gottesgabe"
"28","13074025","Grambow"
"27","13074026","Grevesmühlen, Stadt"
"27","13074027","Grieben"
"27","13074028","Groß Molzahn"
"27","13074029","Groß Siemz"
"28","13074030","Groß Stieten"
"28","13074031","Hohen Viecheln"
"27","13074032","Hohenkirchen"
"27","13074033","Holdorf"
"28","13074034","Hornstorf"
"28","13074035","Insel Poel"
"28","13074036","Jesendorf"
"27","13074037","Kalkhorst"
"28","13074038","Klein Trebbow"
"27","13074039","Klütz, Stadt"
"28","13074040","Kneese"
"27","13074042","Königsfeld"
"28","13074043","Krembz"
"28","13074044","Krusenhagen"
"27","13074045","Lockwisch"
"28","13074046","Lübberstorf"
"28","13074047","Lübow"
"28","13074048","Lübstorf"
"27","13074049","Lüdersdorf"
"28","13074050","Lützow"
"27","13074052","Menzendorf"
"28","13074053","Metelsdorf"
"28","13074054","Mühlen Eichsen"
"28","13074056","Neuburg"
"28","13074057","Neukloster, Stadt"
"27","13074058","Niendorf"
"28","13074060","Passee"
"28","13074061","Perlin"
"28","13074062","Pingelshagen"
"27","13074063","Plüschow"
"28","13074064","Pokrent"
"27","13074065","Rehna, Stadt"
"27","13074066","Rieps"
"27","13074067","Roduchelstorf"
"28","13074068","Roggendorf"
"27","13074069","Roggenstorf"
"28","13074070","Rögnitz"
"27","13074071","Rüting"
"28","13074072","Schildetal"
"27","13074073","Schlagsdorf"
"27","13074074","Schönberg, Stadt"
"28","13074075","Seehof"
"27","13074076","Selmsdorf"
"27","13074077","Testorf-Steinfort"
"27","13074078","Thandorf"
"27","13074079","Upahl"
"27","13074080","Utecht"
"28","13074081","Veelböken"
"28","13074082","Ventschow"
"28","13074084","Warin, Stadt"
"27","13074085","Warnow"
"10","13074087","Wismar, Hansestadt"
"28","13074088","Zickhusen"
"27","13074089","Zierow"
"28","13074090","Zurow"
"28","13074091","Züsow"
"27","13074092","Wedendorfersee"
"27","13074093","Stepenitztal"
"28","13074751","Briefwahl Dorf Mecklenburg-Bad Kleinen"
"28","13074752","Briefwahl Gadebusch"
"27","13074753","Briefwahl Grevesmühlen-Land"
"27","13074754","Briefwahl Klützer Winkel"
"28","13074755","Briefwahl Lützow-Lübstorf"
"28","13074756","Briefwahl Neuburg"
"28","13074757","Briefwahl Neukloster-Warin"
"27","13074758","Briefwahl Rehna"
"27","13074759","Briefwahl Schönberger Land"
"35","13075001","Ahlbeck"
"13","13075002","Alt Tellin"
"35","13075003","Altwarp"
"35","13075004","Altwigshagen"
"29","13075005","Anklam, Stadt"
"29","13075006","Bandelin"
"29","13075007","Bargischow"
"29","13075008","Behrenhoff"
"13","13075009","Bentzin"
"30","13075010","Benz"
"36","13075011","Bergholz"
"36","13075012","Blankensee"
"29","13075013","Blesewitz"
"29","13075015","Boldekow"
"36","13075016","Boock"
"36","13075017","Brietzig"
"30","13075018","Brünzow"
"29","13075020","Bugewitz"
"30","13075021","Buggenhagen"
"29","13075022","Butzow"
"13","13075023","Daberkow"
"29","13075025","Dargelin"
"30","13075026","Dargen"
"29","13075027","Dersekow"
"29","13075028","Diedrichshagen"
"29","13075029","Ducherow"
"35","13075031","Eggesin, Stadt"
"36","13075032","Fahrenwalde"
"35","13075033","Ferdinandshof"
"30","13075034","Garz"
"36","13075035","Glasow"
"13","13075036","Görmin"
"35","13075037","Grambin"
"36","13075038","Grambow"
"1","13075039","Greifswald, Hansestadt"
"29","13075040","Gribow"
"29","13075041","Groß Kiesow"
"36","13075042","Groß Luckow"
"29","13075043","Groß Polzin"
"29","13075044","Gützkow, Stadt"
"35","13075045","Hammer a. d. Uecker"
"30","13075046","Hanshagen"
"35","13075048","Heinrichswalde"
"30","13075049","Heringsdorf"
"29","13075050","Hinrichshagen"
"35","13075051","Hintersee"
"29","13075053","Iven"
"13","13075054","Jarmen, Stadt"
"36","13075055","Jatznick"
"30","13075056","Kamminke"
"29","13075057","Karlsburg"
"30","13075058","Karlshagen"
"30","13075059","Katzow"
"30","13075060","Kemnitz"
"29","13075061","Klein Bünzow"
"36","13075063","Koblentz"
"30","13075065","Korswandt"
"30","13075066","Koserow"
"36","13075067","Krackow"
"29","13075068","Krien"
"30","13075069","Kröslin"
"13","13075070","Kruckow"
"36","13075071","Krugsdorf"
"30","13075072","Krummin"
"29","13075073","Krusenfelde"
"30","13075074","Lassan, Stadt"
"35","13075075","Leopoldshagen"
"29","13075076","Levenhagen"
"35","13075078","Liepgarten"
"36","13075079","Löcknitz"
"30","13075080","Loddin"
"30","13075081","Loissin"
"13","13075082","Loitz, Stadt"
"30","13075083","Lubmin"
"35","13075084","Lübs"
"35","13075085","Luckow"
"29","13075086","Lühmannsdorf"
"30","13075087","Lütow"
"29","13075088","Medow"
"35","13075089","Meiersberg"
"30","13075090","Mellenthin"
"29","13075091","Mesekenhagen"
"30","13075092","Mölschow"
"35","13075093","Mönkebude"
"29","13075094","Murchin"
"36","13075095","Nadrensee"
"30","13075097","Neu Boltenhagen"
"29","13075098","Neu Kosenow"
"29","13075101","Neuenkirchen"
"29","13075102","Neuenkirchen"
"36","13075103","Nieden"
"36","13075104","Papendorf"
"36","13075105","Pasewalk, Stadt"
"30","13075106","Peenemünde"
"36","13075107","Penkun, Stadt"
"36","13075108","Plöwen"
"36","13075109","Polzow"
"29","13075110","Postlow"
