"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"20:37:02";50;43;"WKR";"020";"Schönebeck";"U";36242;21832;261;21571;3233;11516;1577;1593;528;1157;166;38;296;121;44;149;1054;29;70;291;21541;4301;11783;1915;1597;677;435;;;;;;;833;;;;""
"L";;;6;0;"WKR";"020";"Schönebeck";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"20:37:02";56;43;"WKR";"020";"Schönebeck";"";36242;21832;261;21571;3233;11516;1577;1593;528;1157;166;38;296;121;44;149;1054;29;70;291;21541;4301;11783;1915;1597;677;435;;;;;;;833;;;;""
"Z";"06.09.2026";"20:19:32";54;49;"WKR";"021";"Bernburg";"U";39514;23474;269;23205;3304;13002;1689;1414;789;1012;177;34;297;103;47;150;1075;34;78;347;23127;4460;13470;2212;1221;1369;395;;;;;;;;;;;""
"L";;;11;0;"WKR";"021";"Bernburg";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;""
"Z";"06.09.2026";"20:19:32";65;49;"WKR";"021";"Bernburg";"";39514;23474;269;23205;3304;13002;1689;1414;789;1012;177;34;297;103;47;150;1075;34;78;347;23127;4460;13470;2212;1221;1369;395;;;;;;;;;;;""
"Z";"06.09.2026";"20:35:49";72;69;"WKR";"022";"Köthen";"U";43086;26185;305;25880;3870;14573;1846;1391;673;1231;286;31;297;126;39;161;1241;36;79;330;25855;5590;14637;2129;1199;767;559;;;;;;;974;;;;""
"Z";"06.09.2026";"19:52:45";7;3;"WKR";"022";"Köthen";"B";0;2243;18;2225;634;664;201;200;71;225;22;1;32;11;12;12;126;8;6;34;2209;815;657;234;166;82;118;;;;;;;137;;;;""
"Z";"06.09.2026";"20:35:49";79;72;"WKR";"022";"Köthen";"";43086;28428;323;28105;4504;15237;2047;1591;744;1456;308;32;329;137;51;173;1367;44;85;364;28064;6405;15294;2363;1365;849;677;;;;;;;1111;;;;""
"Z";"06.09.2026";"20:37:17";73;71;"WKR";"023";"Zerbst";"U";34577;21215;263;20952;3426;11012;1452;1451;585;1053;295;23;208;97;57;100;1087;28;78;391;20824;4829;11266;1829;1461;945;494;;;;;;;;;;;""
