Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;
E;06.06.2021;;;;GEM;15083355;Stadt Kroppenstedt;1132;708;6;702;285;199;50;40;15;51;22;1;9;1;2;3;5;0;2;11;0;0;0;3;2;1;5;703;264;213;58;64;14;44;46;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083361;Gemeinde Loitsche-Heinrichsberg;779;548;12;536;185;132;48;44;16;49;13;0;4;8;1;0;9;2;3;12;1;1;1;1;4;2;17;531;203;138;53;44;17;26;21;;;12;;;;13;;4;;;
E;06.06.2021;;;;GEM;15083390;Gemeinde Niedere Börde;5815;3992;64;3928;1433;936;409;270;137;286;126;11;55;40;1;46;39;1;18;75;2;5;4;20;10;4;71;3921;1537;875;439;329;128;239;177;;;101;;;;79;;17;;;
E;06.06.2021;;;;GEM;15083411;Stadt Oebisfelde-Weferlingen;11101;6881;108;6773;2579;1326;726;674;302;380;199;22;112;27;2;109;62;7;47;109;2;14;10;30;20;14;124;6757;2361;1373;997;834;319;332;397;;;;;;;111;;33;;;
E;06.06.2021;;;;GEM;15083415;Stadt Oschersleben (Bode);15996;8886;94;8792;3289;1968;875;959;321;513;273;26;137;25;1;42;86;4;47;130;4;7;7;34;29;15;109;8777;2671;2080;888;1719;326;603;490;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083440;Gemeinde Rogätz;1803;1183;19;1164;438;288;110;97;33;73;43;2;13;2;1;5;13;2;1;26;0;3;3;5;2;4;24;1159;448;285;131;107;23;63;61;;;11;;;;21;;9;;;
E;06.06.2021;;;;GEM;15083485;Gemeinde Sommersdorf;1163;769;7;762;272;198;81;74;34;44;18;1;18;1;1;3;3;0;3;5;2;1;0;1;2;0;7;762;263;191;89;96;35;46;36;;;;;;;6;;;;;
E;06.06.2021;;;;GEM;15083490;Gemeinde Sülzetal;7415;5162;66;5096;1892;1259;440;460;197;346;140;12;87;32;2;23;59;1;31;68;3;2;3;17;16;6;79;5083;1902;1375;464;480;194;358;310;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083505;Gemeinde Ummendorf;773;494;2;492;198;87;52;44;36;35;7;2;6;0;1;2;7;0;6;6;0;0;0;0;1;2;2;492;194;97;51;59;31;36;17;;;;;;;7;;;;;
E;06.06.2021;;;;GEM;15083515;Gemeinde Völpke;1039;594;5;589;220;138;72;63;21;30;15;0;2;1;0;2;4;1;6;8;0;0;3;1;2;0;8;586;211;145;74;78;15;33;27;;;;;;;3;;;;;
