state,election,election_l1,wkr,wkr_name,party,resp_E,resp_Z,res_l1_E,res_l1_Z,no_cand_l1,source
MV,2016,2011,9,Schwerin II,others,0.055153,0.084342,0.089654,0.111206,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,spd,0.40591,0.380239,0.442842,0.459433,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,afd,0.210864,0.19632,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,cdu,0.142566,0.138088,0.18952,0.159371,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,linke,0.123713,0.122762,0.193398,0.171294,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,gruene,0.056061,0.054214,0.092594,0.086641,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,fdp,0.043974,0.036853,0.035008,0.027991,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,10,Wismar,others,0.016913,0.071524,0.046639,0.095271,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,spd,0.2934,0.320825,0.37021,0.39102,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,afd,0.19285,0.213496,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,cdu,0.210126,0.202021,0.250279,0.215866,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,linke,0.107108,0.116235,0.177454,0.16755,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,gruene,0.049605,0.044671,0.08967,0.089286,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,fdp,0.03025,0.029851,0.041792,0.032895,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,11,Landkreis Rostock I,others,0.116662,0.072902,0.070596,0.103383,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,spd,0.294156,0.315251,0.322688,0.345582,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,afd,0.201094,0.198027,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,cdu,0.240446,0.215456,0.306941,0.247619,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,linke,0.157777,0.125616,0.197115,0.176033,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,gruene,0.052695,0.047937,0.092831,0.096754,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,fdp,0.035909,0.03446,0.029219,0.029968,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,12,Landkreis Rostock II,others,0.017924,0.063252,0.051206,0.104045,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,spd,0.189049,0.240983,0.344488,0.300176,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,afd,0.251013,0.245662,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,cdu,0.281637,0.233106,0.442585,0.319481,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,linke,0.143112,0.121528,0.0,0.180765,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,gruene,0.022045,0.024933,0.065996,0.050333,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,fdp,0.0,0.020906,0.024201,0.025483,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,others,0.113143,0.112881,0.122729,0.123763,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,spd,0.244747,0.276927,0.378135,0.332338,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,afd,0.21438,0.209185,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,cdu,0.239385,0.209404,0.36971,0.285841,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,linke,0.156763,0.131219,0.0,0.192721,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,gruene,0.022653,0.02187,0.071283,0.045862,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,fdp,0.039341,0.028486,0.04693,0.031316,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,14,Mecklenburgische Seenplatte II,others,0.082731,0.122909,0.133943,0.111923,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,spd,0.295441,0.321776,0.320455,0.368262,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,afd,0.220477,0.206375,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,cdu,0.247517,0.220599,0.289214,0.260554,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,linke,0.129637,0.110829,0.182362,0.161965,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,gruene,0.032006,0.032639,0.05745,0.060907,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,fdp,0.030138,0.025315,0.02631,0.025592,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,15,Landkreis Rostock III,others,0.044783,0.082465,0.124208,0.12272,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,spd,0.329412,0.353017,0.418527,0.406841,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,afd,0.213211,0.200364,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,cdu,0.254978,0.190845,0.246829,0.223508,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,linke,0.117038,0.110365,0.168703,0.171807,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,gruene,0.032667,0.038609,0.072087,0.071999,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,fdp,0.02905,0.026586,0.031878,0.024451,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,16,Landkreis Rostock IV,others,0.023644,0.080214,0.061976,0.101395,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,17,Ludwigslust-Parchim I,spd,0.416658,0.370479,0.483636,0.44113,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,17,Ludwigslust-Parchim I,afd,0.202575,0.175844,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,17,Ludwigslust-Parchim I,cdu,0.143871,0.161194,0.18641,0.188864,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,17,Ludwigslust-Parchim I,linke,0.11457,0.110426,0.122632,0.144294,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,17,Ludwigslust-Parchim I,gruene,0.025601,0.032936,0.046284,0.060186,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,17,Ludwigslust-Parchim I,fdp,0.083849,0.047585,0.062388,0.036498,0,ltw11-21_meckpom_abs.csv
