state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,aw_wkr,aw_list_pos,source
ST,cdu,Detlef Gürth,detlef guerth,exact,Detlef Gürth,cdu,124096,https://www.abgeordnetenwatch.de/profile/detlef-guerth,18,21,abgeordnetenwatch
ST,cdu,Dr. Anja Schneider,anja schneider,exact,Anja Schneider,cdu,175207,https://www.abgeordnetenwatch.de/profile/anja-schneider,26,16,abgeordnetenwatch
ST,cdu,Dr. Daniel Schlothmann-Jeschek,daniel schlothmann-jeschek,exact,Daniel Schlothmann-Jeschek,cdu,184951,https://www.abgeordnetenwatch.de/profile/daniel-schlothmann-jeschek,20,38,abgeordnetenwatch
ST,cdu,Dr. Ulf Altmann,ulf altmann,exact,Ulf Altmann,cdu,184957,https://www.abgeordnetenwatch.de/profile/ulf-altmann,41,31,abgeordnetenwatch
ST,cdu,Elke Simon-Kuch,elke simon-kuch,exact,Elke Simon-Kuch,cdu,175212,https://www.abgeordnetenwatch.de/profile/elke-simon-kuch,39,19,abgeordnetenwatch
ST,cdu,Eva Feußner,eva feussner,exact,Eva Feußner,cdu,124130,https://www.abgeordnetenwatch.de/profile/eva-feussner,32,,abgeordnetenwatch
ST,cdu,Frank Bommersbach,frank bommersbach,exact,Frank Bommersbach,cdu,124134,https://www.abgeordnetenwatch.de/profile/frank-bommersbach,34,13,abgeordnetenwatch
ST,cdu,Guido Heuer,guido heuer,exact,Guido Heuer,cdu,152761,https://www.abgeordnetenwatch.de/profile/guido-heuer,9,3,abgeordnetenwatch
ST,cdu,Ilka Reckmann,ilka reckmann,exact,Ilka Reckmann,cdu,184955,https://www.abgeordnetenwatch.de/profile/ilka-reckmann,33,37,abgeordnetenwatch
ST,cdu,Jonas Döhring,jonas doehring,exact,Jonas Döhring,cdu,184952,https://www.abgeordnetenwatch.de/profile/jonas-doehring,23,34,abgeordnetenwatch
ST,cdu,Karin Tschernich-Weiske,karin tschernich-weiske,exact,Karin Tschernich-Weiske,cdu,175213,https://www.abgeordnetenwatch.de/profile/karin-tschernich-weiske,27,10,abgeordnetenwatch
ST,cdu,Kerstin Godenrath,kerstin godenrath,exact,Kerstin Godenrath,cdu,165100,https://www.abgeordnetenwatch.de/profile/kerstin-godenrath,37,23,abgeordnetenwatch
ST,cdu,Lars-Jörn Zimmer,lars-joern zimmer,exact,Lars-Jörn Zimmer,cdu,124230,https://www.abgeordnetenwatch.de/profile/lars-joern-zimmer,28,4,abgeordnetenwatch
ST,cdu,Marco Tullner,marco tullner,exact,Marco Tullner,cdu,124241,https://www.abgeordnetenwatch.de/profile/marco-tullner,36,11,abgeordnetenwatch
ST,cdu,Markus Kurze,markus kurze,exact,Markus Kurze,cdu,124245,https://www.abgeordnetenwatch.de/profile/markus-kurze,6,,abgeordnetenwatch
ST,cdu,Matthias Redlich,matthias redlich,exact,Matthias Redlich,cdu,175210,https://www.abgeordnetenwatch.de/profile/matthias-redlich,31,24,abgeordnetenwatch
ST,cdu,Michael Scheffler,michael scheffler,exact,Michael Scheffler,cdu,175208,https://www.abgeordnetenwatch.de/profile/michael-scheffler-0,29,25,abgeordnetenwatch
