electiondate,land,electiondate_l1,party,vote_share,on_ballot,vote_share_l1
1990-01-28,sl,1985-03-10,fdp,5.599999904632568,1,10
1994-10-16,sl,1990-01-28,fdp,2.0999999046325684,1,5.599999904632568
1999-09-05,sl,1994-10-16,fdp,2.5999999046325684,1,2.0999999046325684
2004-09-05,sl,1999-09-05,fdp,5.199999809265137,1,2.5999999046325684
2009-08-30,sl,2004-09-05,fdp,9.199999809265137,1,5.199999809265137
2012-03-25,sl,2009-08-30,fdp,1.2000000476837158,1,9.199999809265137
2017-03-26,sl,2012-03-25,fdp,3.3,1,1.2000000476837158
2022-03-27,sl,2017-03-26,fdp,4.8,1,3.3
2017-03-26,sl,2012-03-25,fw,NA,0,NA
2022-03-27,sl,2017-03-26,fw,NA,0,NA
1980-04-27,sl,1975-05-04,gru,2.9000000953674316,1,NA
1985-03-10,sl,1980-04-27,gru,2.5,1,2.9000000953674316
1990-01-28,sl,1985-03-10,gru,2.5999999046325684,1,2.5
1994-10-16,sl,1990-01-28,gru,5.5,1,2.5999999046325684
1999-09-05,sl,1994-10-16,gru,3.200000047683716,1,5.5
2004-09-05,sl,1999-09-05,gru,5.599999904632568,1,3.200000047683716
2009-08-30,sl,2004-09-05,gru,5.900000095367432,1,5.599999904632568
2012-03-25,sl,2009-08-30,gru,5,1,5.900000095367432
2017-03-26,sl,2012-03-25,gru,4,1,5
2022-03-27,sl,2017-03-26,gru,4.995,1,4
1999-09-05,sl,1994-10-16,lin,0.800000011920929,1,NA
2004-09-05,sl,1999-09-05,lin,2.299999952316284,1,0.800000011920929
2009-08-30,sl,2004-09-05,lin,21.299999237060547,1,2.299999952316284
2012-03-25,sl,2009-08-30,lin,16.100000381469727,1,21.299999237060547
2017-03-26,sl,2012-03-25,lin,12.8,1,16.100000381469727
2022-03-27,sl,2017-03-26,lin,2.6,1,12.8
1970-06-14,sl,1965-06-27,npd,3.4000000953674316,1,NA
1975-05-04,sl,1970-06-14,npd,0.699999988079071,1,3.4000000953674316
1985-03-10,sl,1980-04-27,npd,0.699999988079071,1,0.699999988079071
1990-01-28,sl,1985-03-10,npd,0.20000000298023224,1,0.699999988079071
2004-09-05,sl,1999-09-05,npd,4,1,0.20000000298023224
2009-08-30,sl,2004-09-05,npd,1.5,1,4
2012-03-25,sl,2009-08-30,npd,1.2000000476837158,1,1.5
2017-03-26,sl,2012-03-25,npd,NA,0,1.2000000476837158
2022-03-27,sl,2017-03-26,npd,NA,0,NA
2017-03-26,sl,2012-03-25,pir,0.7,1,NA
2022-03-27,sl,2017-03-26,pir,NA,0,0.7
1955-12-18,sl,1947-10-05,spd,14.300000190734863,1,NA
1960-12-04,sl,1955-12-18,spd,30,1,14.300000190734863
1965-06-27,sl,1960-12-04,spd,40.70000076293945,1,30
1970-06-14,sl,1965-06-27,spd,40.79999923706055,1,40.70000076293945
1975-05-04,sl,1970-06-14,spd,41.79999923706055,1,40.79999923706055
1980-04-27,sl,1975-05-04,spd,45.400001525878906,1,41.79999923706055
1985-03-10,sl,1980-04-27,spd,49.20000076293945,1,45.400001525878906
1990-01-28,sl,1985-03-10,spd,54.400001525878906,1,49.20000076293945
1994-10-16,sl,1990-01-28,spd,49.400001525878906,1,54.400001525878906
1999-09-05,sl,1994-10-16,spd,44.400001525878906,1,49.400001525878906
2004-09-05,sl,1999-09-05,spd,30.799999237060547,1,44.400001525878906
2009-08-30,sl,2004-09-05,spd,24.5,1,30.799999237060547
2012-03-25,sl,2009-08-30,spd,30.600000381469727,1,24.5
2017-03-26,sl,2012-03-25,spd,29.6,1,30.600000381469727
2022-03-27,sl,2017-03-26,spd,43.5,1,29.6
2014-08-31,sn,2009-08-30,afd,9.699999809265137,1,NA
2019-09-01,sn,2014-08-31,afd,27.5,1,9.699999809265137
2019-09-01,sn,2014-08-31,bsw,NA,0,NA
1990-10-14,sn,NA,cdu,53.79999923706055,1,NA
1994-09-11,sn,1990-10-14,cdu,58.099998474121094,1,53.79999923706055
1999-09-19,sn,1994-09-11,cdu,56.900001525878906,1,58.099998474121094
2004-09-19,sn,1999-09-19,cdu,41.099998474121094,1,56.900001525878906
2009-08-30,sn,2004-09-19,cdu,40.20000076293945,1,41.099998474121094
2014-08-31,sn,2009-08-30,cdu,39,1,40.20000076293945
2019-09-01,sn,2014-08-31,cdu,32.1,1,39
1990-10-14,sn,NA,fdp,5.300000190734863,1,NA
1994-09-11,sn,1990-10-14,fdp,1.7000000476837158,1,5.300000190734863
1999-09-19,sn,1994-09-11,fdp,1.100000023841858,1,1.7000000476837158
