wkr,party,partei,name,source
13,fdp,FDP,Jessica Mendle,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
13,linke,LINKE,Dirk Bruhn,https://kampagne26.die-linke-mv.de/direktkandidierende/
13,spd,SPD,Dr. Anna-Konstanze Schröder,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
14,afd,AfD,Christian Skotnik,https://afd-mv.de/blaue-wende-2026/#Kandidaten
14,bsw,BSW,Gerold Lehmann,https://mv.bsw-vg.de/unsere-direktkandidaten/
14,cdu,CDU/CSU,Marc Reinhardt,https://cdu-mv.de/landtagskandidaten2026cdumv/
14,linke,LINKE,Dennis Burmeister,https://kampagne26.die-linke-mv.de/direktkandidierende/
14,spd,SPD,Thomas Krüger,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
15,afd,AfD,Steffi Burmeister,https://afd-mv.de/blaue-wende-2026/#Kandidaten
15,bsw,BSW,Evelin Pohl,https://mv.bsw-vg.de/unsere-direktkandidaten/
15,cdu,CDU/CSU,Torsten Renz,https://cdu-mv.de/landtagskandidaten2026cdumv/
15,fdp,FDP,Paul Marquardt,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
15,gruene,GRÜNE,Steffen Marklein,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
15,linke,LINKE,Grit Kowalski,https://kampagne26.die-linke-mv.de/direktkandidierende/
15,spd,SPD,Grit Schmelzer,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
16,afd,AfD,Peter Reizlein,https://afd-mv.de/blaue-wende-2026/#Kandidaten
16,bsw,BSW,Nadine Nettelmann,https://mv.bsw-vg.de/unsere-direktkandidaten/
16,cdu,CDU/CSU,Veikko Hackendahl,https://cdu-mv.de/landtagskandidaten2026cdumv/
16,fdp,FDP,Steffen Geufke,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
16,gruene,GRÜNE,Roswitha Engelke,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
16,linke,LINKE,Michael Noetzel,https://kampagne26.die-linke-mv.de/direktkandidierende/
16,spd,SPD,Philipp da Cunha,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
17,afd,AfD,Nicole Ehlers,https://afd-mv.de/blaue-wende-2026/#Kandidaten
17,bsw,BSW,Daniel Mika Podrasil,https://mv.bsw-vg.de/unsere-direktkandidaten/
17,cdu,CDU/CSU,Dennis Aukstein-Scheuten,https://cdu-mv.de/landtagskandidaten2026cdumv/
17,fdp,FDP,Johan von Gersdorff,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
17,gruene,GRÜNE,Philipp Lübbert,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
17,linke,LINKE,Andreas Makowsky,https://kampagne26.die-linke-mv.de/direktkandidierende/
17,spd,SPD,Dr. Till Backhaus,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
18,afd,AfD,Martin Schmidt,https://afd-mv.de/blaue-wende-2026/#Kandidaten
18,bsw,BSW,Rainer Barabas,https://mv.bsw-vg.de/unsere-direktkandidaten/
18,cdu,CDU/CSU,Christian Geier,https://cdu-mv.de/landtagskandidaten2026cdumv/
18,fdp,FDP,Theodoros Weiße,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
18,gruene,GRÜNE,Andrea Leonhard,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
18,linke,LINKE,Gelord Opitz,https://kampagne26.die-linke-mv.de/direktkandidierende/
18,spd,SPD,Markus Eichwitz,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
19,afd,AfD,Alexander Tschich,https://afd-mv.de/blaue-wende-2026/#Kandidaten
19,cdu,CDU/CSU,Karoline Herrmann,https://cdu-mv.de/landtagskandidaten2026cdumv/
19,fdp,FDP,Noah Böhringer,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
19,gruene,GRÜNE,Tommy Klein,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
19,linke,LINKE,Jacqueline Bernhardt,https://kampagne26.die-linke-mv.de/direktkandidierende/
19,spd,SPD,Christian Winter,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
20,afd,AfD,Frank Müller,https://afd-mv.de/blaue-wende-2026/#Kandidaten
20,bsw,BSW,Torsten Behnke,https://mv.bsw-vg.de/unsere-direktkandidaten/
20,cdu,CDU/CSU,Matthias Kagel,https://cdu-mv.de/landtagskandidaten2026cdumv/
