wahlkreis,wahlkreisname,gültige_stimmen_erst,spd_erst,afd_erst,cdu_erst,linke_erst,gruene_erst,fdp_erst,bsw_erst,others_erst,gültige_stimmen_zweit,spd_zweit,afd_zweit,cdu_zweit,linke_zweit,gruene_zweit,fdp_zweit,bsw_zweit,others_zweit
66,Marzahn-Hellersdorf 6,16237,2283,3147,6131,2470,720,320,0,1166,16235,2480,3276,5171,2316,812,417,0,1763
67,Lichtenberg 1,17530,2175,3501,7159,2694,672,332,0,997,17553,2461,3669,6084,2521,703,369,0,1746
68,Lichtenberg 2,19666,2853,2906,7762,3324,1279,447,0,1095,19715,2943,3014,6820,3129,1357,563,0,1889
69,Lichtenberg 3,18144,3442,2661,4254,4244,1606,586,0,1351,18173,3361,2646,4200,3539,1642,560,0,2225
70,Lichtenberg 4,19825,3696,2172,3783,5399,3296,0,0,1479,19878,3346,2127,3572,4355,3443,599,0,2436
71,Lichtenberg 5,19744,3203,2588,3900,4928,2791,545,0,1789,19763,3140,2518,3919,4139,2959,582,0,2506
72,Lichtenberg 6,21503,4174,2130,4807,4669,3496,742,0,1485,21567,3707,2141,4996,3972,3585,853,0,2313
73,Reinickendorf 1,13606,3128,1571,5056,1155,1480,348,0,868,13730,2653,1614,4743,1131,1727,412,0,1450
74,Reinickendorf 2,15238,3476,2018,5928,772,1369,585,0,1090,15250,3120,1979,5798,824,1454,601,0,1474
75,Reinickendorf 3,21210,4736,1737,9348,616,2637,998,0,1138,21236,4391,1771,8848,729,2731,1256,0,1510
76,Reinickendorf 4,21083,4915,2066,8709,696,2447,901,0,1349,21092,4360,2089,8342,864,2606,1011,0,1820
77,Reinickendorf 5,13027,2934,1838,5702,506,835,407,0,805,13066,2846,1876,5356,504,867,497,0,1120
78,Reinickendorf 6,21654,4396,1230,9889,510,3615,1110,0,904,21683,4118,1301,9530,753,3307,1470,0,1204
