wkr,party,partei,name,source
14,spd,SPD,Nils Johannson,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,afd,AfD,Armin Friese,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,bsw,BSW,Maximilian Schwartz,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,cdu,CDU/CSU,Alexander Räuscher,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,fdp,FDP,Steffen Mente,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,fw,FW,Andre Weber,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,gruene,GRÜNE,Klaus Plitzkat,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,linke,LINKE,Lukas Franke,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
15,spd,SPD,Florian Fahrtmann,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,afd,AfD,Frank-Ronald Bischoff,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,bsw,BSW,Joachim Pasemann,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,cdu,CDU/CSU,Bianca Heine,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,fdp,FDP,Max Henrik Schröder,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,fw,FW,Bianka Willke,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,gruene,GRÜNE,Lennox Schrickel,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,linke,LINKE,Katja Käfer,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
16,spd,SPD,Prof. Dr. Armin Willingmann,https://spdsachsenanhalt.de/wahlkreise/
17,afd,AfD,Dennis Möhring,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
17,bsw,BSW,Michael Reim,https://st.bsw-vg.de/landtagswahl-2026/
