adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
04B2H,04,B,24,408.0,0.0,23.284,22.324,42.892,27.523,14.706,14.067,4.167,6.116,4.167,9.48,4.902,14.067,5.882,6.422
04B2I,04,B,24,756.0,0.0,18.386,21.967,42.725,27.541,17.46,16.066,5.026,6.23,3.175,9.836,7.407,13.115,5.82,5.246
04B2J,04,B,24,460.0,0.0,19.13,21.372,44.348,29.288,13.478,13.984,4.13,5.277,4.783,10.29,9.348,15.303,4.783,4.485
04B2K,04,B,24,321.0,0.0,21.807,21.519,40.498,27.004,15.888,15.612,2.181,6.751,6.854,9.283,8.411,13.502,4.361,6.329
04B2L,04,B,24,351.0,0.0,20.798,21.612,25.071,27.473,25.356,16.484,6.268,6.96,5.698,9.158,5.983,13.187,10.826,5.128
04B2M,04,B,24,260.0,0.0,20.0,21.318,16.923,27.519,33.462,16.279,10.385,6.977,2.308,9.302,5.385,13.178,11.538,5.426
04B2N,04,B,24,446.0,0.0,21.076,22.571,45.516,26.646,13.901,14.734,4.933,6.27,5.381,10.345,5.157,15.361,4.036,4.075
04B2P,04,B,24,432.0,0.0,17.361,21.429,45.37,29.847,15.046,14.031,2.778,5.102,3.704,10.459,9.722,15.561,6.019,3.571
04B2Q,04,B,24,423.0,0.0,21.277,22.526,38.534,26.962,20.095,15.017,4.255,5.802,2.837,10.239,7.801,15.358,5.201,4.096
04B2R,04,B,24,403.0,0.0,26.055,22.591,40.695,26.91,15.385,14.95,4.467,5.98,2.73,10.299,6.452,15.282,4.218,3.987
04B2S,04,B,24,388.0,0.0,18.557,19.121,40.206,29.457,20.619,17.829,4.639,5.168,2.32,9.044,9.794,16.021,3.866,3.359
04B2T,04,B,24,436.0,0.0,17.89,22.109,41.743,26.531,15.826,15.306,3.899,6.463,3.44,10.204,10.092,14.626,7.11,4.762
04B2U,04,B,24,356.0,0.0,23.315,22.148,24.719,26.51,26.124,15.436,9.551,6.376,4.775,10.067,5.899,14.765,5.618,4.698
04B2V,04,B,24,332.0,0.0,20.181,22.302,35.542,26.619,14.458,15.468,4.518,6.475,3.614,10.432,11.145,14.748,10.542,3.957
04B2W,04,B,24,333.0,0.0,17.718,19.547,39.64,29.462,21.622,17.564,2.402,5.099,2.402,9.348,10.811,15.864,5.405,3.116
04B2X,04,B,24,452.0,0.0,18.805,21.834,23.894,27.948,29.425,15.721,6.637,6.114,3.097,10.044,9.292,13.974,8.85,4.367
04B2Y,04,B,24,406.0,0.0,18.966,21.951,40.394,28.049,17.734,15.041,2.956,5.691,3.448,10.569,9.36,14.634,7.143,4.065
04B3A,04,B,25,336.0,0.0,16.667,22.623,23.81,17.377,28.869,22.623,12.798,11.148,2.679,7.541,6.548,10.492,8.631,8.197
04B3B,04,B,25,300.0,0.0,26.0,22.727,24.333,17.483,24.667,22.727,8.333,11.189,4.333,7.343,6.0,10.49,6.333,8.042
04B3C,04,B,25,313.0,0.0,21.406,22.789,29.073,17.687,23.323,22.789,8.307,11.224,4.792,7.483,6.39,10.544,6.709,7.483
04B3D,04,B,25,604.0,0.0,21.192,22.67,25.331,15.869,27.815,25.693,7.616,12.343,3.311,7.053,7.781,9.572,6.954,6.801
04B3E,04,B,25,476.0,0.0,21.218,22.517,17.857,17.55,33.824,23.51,11.345,11.258,2.521,7.285,5.252,10.927,7.983,6.954
04B3F,04,B,25,262.0,0.0,19.084,22.5,15.649,17.857,35.496,23.214,16.031,11.429,2.29,7.5,3.053,10.714,8.397,6.786
04B3G,04,B,25,344.0,0.0,19.477,22.727,21.512,17.045,34.884,24.242,10.465,11.364,3.488,7.197,3.198,10.985,6.977,6.439
04B3H,04,B,25,540.0,0.0,24.259,23.961,28.704,18.582,19.074,20.049,10.741,10.513,4.444,9.291,4.63,11.736,8.148,5.868
